time	FADEC_LA_Corrected_N2_Speed
09:11:51:904	0.0
09:11:51:966	0.0
09:11:52:029	0.0
09:11:52:091	0.0
09:11:52:154	0.0
09:11:52:216	0.0
09:11:52:279	0.0
09:11:52:341	0.0
09:11:52:404	0.0
09:11:52:466	0.0
09:11:52:529	0.0
09:11:52:591	0.0
09:11:52:654	0.0
09:11:52:716	0.0
09:11:52:779	0.0
09:11:52:841	0.0
09:11:52:904	0.0
09:11:52:966	0.0
09:11:53:029	0.0
09:11:53:091	0.0
09:11:53:154	0.0
09:11:53:216	0.0
09:11:53:279	0.0
09:11:53:341	0.0
09:11:53:404	0.0
09:11:53:466	0.0
09:11:53:529	0.0
09:11:53:591	0.0
09:11:53:654	0.0
09:11:53:716	0.0
09:11:53:779	0.0
09:11:53:841	0.0
09:11:53:904	0.0
09:11:53:966	0.0
09:11:54:029	0.0
09:11:54:091	0.0
09:11:54:154	0.0
09:11:54:216	0.0
09:11:54:279	0.0
09:11:54:341	0.0
09:11:54:404	0.0
09:11:54:466	0.0
09:11:54:529	0.0
09:11:54:591	0.0
09:11:54:654	0.0
09:11:54:716	0.0
09:11:54:779	0.0
09:11:54:841	0.0
09:11:54:904	0.0
09:11:54:966	0.0
09:11:55:029	0.0
09:11:55:091	0.0
09:11:55:154	0.0
09:11:55:216	0.0
09:11:55:279	0.0
09:11:55:341	0.0
09:11:55:404	0.0
09:11:55:466	0.0
09:11:55:529	0.0
09:11:55:591	0.0
09:11:55:654	0.0
09:11:55:716	0.0
09:11:55:779	0.0
09:11:55:841	0.0
09:11:55:904	0.0
09:11:55:966	0.0
09:11:56:029	0.0
09:11:56:091	0.0
09:11:56:154	0.0
09:11:56:216	0.0
09:11:56:279	0.0
09:11:56:341	0.0
09:11:56:404	0.0
09:11:56:466	0.0
09:11:56:529	0.0
09:11:56:591	0.0
09:11:56:654	0.0
09:11:56:716	0.0
09:11:56:779	0.0
09:11:56:841	0.0
09:11:56:904	0.0
09:11:56:966	0.0
09:11:57:029	0.0
09:11:57:091	0.0
09:11:57:154	0.0
09:11:57:216	0.0
09:11:57:279	0.0
09:11:57:341	0.0
09:11:57:404	0.0
09:11:57:466	0.0
09:11:57:529	0.0
09:11:57:591	0.0
09:11:57:654	0.0
09:11:57:716	0.0
09:11:57:779	0.0
09:11:57:841	0.0
09:11:57:904	0.0
09:11:57:966	0.0
09:11:58:029	0.0
09:11:58:091	0.0
09:11:58:154	0.0
09:11:58:216	0.0
09:11:58:279	0.0
09:11:58:341	0.0
09:11:58:404	0.0
09:11:58:466	0.0
09:11:58:529	0.0
09:11:58:591	0.0
09:11:58:654	0.0
09:11:58:716	0.0
09:11:58:779	0.0
09:11:58:841	0.0
09:11:58:904	0.0
09:11:58:966	0.0
09:11:59:029	0.0
09:11:59:091	0.0
09:11:59:154	0.0
09:11:59:216	0.0
09:11:59:279	0.0
09:11:59:341	0.0
09:11:59:404	0.0
09:11:59:466	0.0
09:11:59:529	0.0
09:11:59:591	0.0
09:11:59:654	0.0
09:11:59:716	0.0
09:11:59:779	0.0
09:11:59:841	0.0
09:11:59:904	0.0
09:11:59:966	0.0
09:12:00:029	0.0
09:12:00:091	0.0
09:12:00:154	0.0
09:12:00:216	0.0
09:12:00:279	0.0
09:12:00:341	0.0
09:12:00:404	0.0
09:12:00:466	0.0
09:12:00:529	0.0
09:12:00:591	0.0
09:12:00:654	0.0
09:12:00:716	0.0
09:12:00:779	0.0
09:12:00:841	0.0
09:12:00:904	0.0
09:12:00:966	0.0
09:12:01:029	0.0
09:12:01:091	0.0
09:12:01:154	0.0
09:12:01:216	0.0
09:12:01:279	0.0
09:12:01:341	0.0
09:12:01:404	0.0
09:12:01:466	0.0
09:12:01:529	0.0
09:12:01:591	0.0
09:12:01:654	0.0
09:12:01:716	0.0
09:12:01:779	0.0
09:12:01:841	0.0
09:12:01:904	0.0
09:12:01:966	0.0
09:12:02:029	0.0
09:12:02:091	0.0
09:12:02:154	0.0
09:12:02:216	0.0
09:12:02:279	0.0
09:12:02:341	0.0
09:12:02:404	0.0
09:12:02:466	0.0
09:12:02:529	0.0
09:12:02:591	0.0
09:12:02:654	0.0
09:12:02:716	0.0
09:12:02:779	0.0
09:12:02:841	0.0
09:12:02:904	0.0
09:12:02:966	0.0
09:12:03:029	0.0
09:12:03:091	0.0
09:12:03:154	0.0
09:12:03:216	0.0
09:12:03:279	0.0
09:12:03:341	0.0
09:12:03:404	0.0
09:12:03:466	0.0
09:12:03:529	0.0
09:12:03:591	0.0
09:12:03:654	0.0
09:12:03:716	0.0
09:12:03:779	0.0
09:12:03:841	0.0
09:12:03:904	0.0
09:12:03:966	0.0
09:12:04:029	0.0
09:12:04:091	0.0
09:12:04:154	0.0
09:12:04:216	0.0
